,Industry_id,,,,,
,Average of Ln(Close) - Ln(Close1),,Average of (Close - Close1)/Close1,,Average of (Close-LowN)/(HighN-LowN) ,
Date,1,2,1,2,1,2
2017-10-24,0,0,0,0,0.432017884,0.469948291
2017-10-25,0.007000713,0.00619352,0.007032287,0.006224269,0.525259319,0.688773441
2017-10-26,0.012212218,0.008589179,0.012264663,0.008584041,0.512460606,0.507850544
2017-10-27,0.016345882,0.009412594,0.01630442,0.009372164,0.65247131,0.675481629
2017-10-30,0.01111216,0.008284218,0.011163498,0.008306852,0.458056858,0.388052602
2017-10-31,0.008441944,0.031083688,0.00842684,0.031221584,0.474810904,0.582280923
2017-11-01,0.007724319,0.009878565,0.007723217,0.009934689,0.429773431,0.318784602
2017-11-02,0.014398477,0.015080662,0.0142748,0.015383389,0.584301971,0.471226703
2017-11-03,0.010465279,0.010817618,0.010486185,0.010754094,0.570303564,0.485053121
2017-11-06,0.013348484,0.012071223,0.01314954,0.01215858,0.457182116,0.313234997
2017-11-07,0.018073013,0.016767167,0.018206943,0.016897397,0.499202616,0.592234762
2017-11-08,0.009605278,0.031538117,0.009573938,0.031051327,0.614175331,0.765801721
2017-11-09,0.013384463,0.01006902,0.013260237,0.01004192,0.631488509,0.45599832
2017-11-10,0.010865232,0.008461656,0.010789136,0.008411084,0.601971114,0.588522283
2017-11-13,0.008821678,0.008865546,0.008830978,0.008840219,0.486040919,0.504386486
2017-11-14,0.012246508,0.012042473,0.011968378,0.012092035,0.684821909,0.545397959
2017-11-15,0.029712688,0.042439262,0.028169707,0.041819475,0.504617404,0.342264509
2017-11-16,0.032860267,0.048795315,0.034861796,0.049498223,0.647451094,0.701824895
2017-11-17,0.023953658,0.010686168,0.022860322,0.010646774,0.475333858,0.588705373
2017-11-20,0.007479544,0.011603701,0.00747817,0.011518513,0.462655157,0.797546465
2017-11-21,0.00886932,0.010399512,0.008859253,0.010362644,0.568897698,0.502837935
2017-11-22,0.005794774,0.008373851,0.005801554,0.008407893,0.368863599,0.32207254
2017-11-27,0.01214581,0.011349179,0.012176285,0.011428896,0.400388305,0.493949078
2017-11-28,0.013295373,0.017664895,0.013155354,0.017433735,0.789686283,0.851579817
2017-11-29,0.022909816,0.018059049,0.022586161,0.017842853,0.618202838,0.649870665
2017-11-30,0.013550728,0.011635256,0.013385917,0.011514237,0.559073289,0.5753954
2017-12-01,0.007685912,0.009107031,0.007673234,0.009015699,0.683356192,0.793909957
2017-12-04,0.025550296,0.017284136,0.025231327,0.017324988,0.478753333,0.41366032
2017-12-05,0.013650122,0.012449208,0.013788968,0.012555594,0.29108178,0.327121187
2017-12-06,0.010071688,0.012554372,0.010166453,0.012645369,0.357942667,0.442293742
2017-12-07,0.007525418,0.014717823,0.007495495,0.014651109,0.59955354,0.497490865
2017-12-08,0.010988188,0.011401084,0.010891565,0.011345454,0.605037834,0.565184729
2017-12-11,0.007680795,0.013622102,0.007681613,0.013724864,0.590732627,0.539109224
2017-12-12,0.008555118,0.012941012,0.008495013,0.012764365,0.453893345,0.469827106
2017-12-13,0.008854801,0.012854023,0.008860835,0.012907,0.4867194,0.411340083
2017-12-14,0.010845135,0.027901877,0.010835102,0.029041069,0.279479371,0.230030006
2017-12-15,0.010810023,0.011341804,0.010750636,0.011298165,0.438401063,0.579910045
2017-12-18,0.012274086,0.012787559,0.01216377,0.012710379,0.551165593,0.429965527
2017-12-19,0.010844005,0.011545878,0.010899632,0.01160578,0.356807378,0.236304873
2017-12-20,0.008970234,0.007724116,0.00899306,0.007677209,0.367223283,0.492681302
2017-12-21,0.009156611,0.01416482,0.009076112,0.01417327,0.427838857,0.36202703
2017-12-22,0.006293317,0.004606695,0.006276171,0.004599057,0.642126164,0.517144506
2017-12-26,0.008798145,0.008391018,0.008766729,0.008355852,0.575345817,0.491992699
2017-12-27,0.008147999,0.004656897,0.008166556,0.004662608,0.454368849,0.389274921
2017-12-28,0.005298405,0.011977272,0.005278471,0.011766125,0.641279111,0.745361844
2017-12-29,0.00535182,0.009207047,0.005368567,0.009242733,0.176226226,0.199950783
2018-01-02,0.016256294,0.017782981,0.016055421,0.017828773,0.512323002,0.506118078
2018-01-03,0.009891914,0.007613968,0.009894129,0.007615362,0.510617589,0.436628734
2018-01-04,0.015900725,0.011171447,0.016217996,0.011136892,0.428236019,0.62898854
2018-01-05,0.010352166,0.010558775,0.010274919,0.010775697,0.632697572,0.463376228
2018-01-08,0.009883625,0.01871075,0.00988447,0.018453356,0.568341274,0.62490716
2018-01-09,0.011120851,0.009721079,0.011169442,0.009691818,0.341592392,0.453197352
2018-01-10,0.01005705,0.006658163,0.010089059,0.006695975,0.603332152,0.597180412
2018-01-11,0.014388205,0.017102759,0.014245531,0.016915681,0.785627489,0.608793955
2018-01-12,0.01227178,0.010809522,0.012155057,0.010895772,0.663548681,0.480611658
2018-01-16,0.011268452,0.016038088,0.011341859,0.016396344,0.221853228,0.173548961
2018-01-17,0.011581936,0.009194638,0.011500305,0.009210291,0.647976447,0.418368863
2018-01-18,0.008599278,0.011664859,0.008603089,0.011694992,0.4784609,0.406755514
2018-01-19,0.011919599,0.013342149,0.011797992,0.013199572,0.720446277,0.660728123
2018-01-22,0.012249903,0.016381541,0.012138454,0.016048278,0.860196559,0.822252632
2018-01-23,0.011741367,0.010942646,0.011543268,0.010998412,0.646430392,0.430017773
2018-01-24,0.009279295,0.008853051,0.009251427,0.008888807,0.500164437,0.381899872
2018-01-25,0.009626361,0.011715491,0.00964038,0.011809782,0.491767806,0.333419386
2018-01-26,0.011945911,0.012827429,0.011905657,0.01269246,0.812595168,0.752845356
2018-01-29,0.010281323,0.012638501,0.0102549,0.012773666,0.451173637,0.276503323
2018-01-30,0.013153871,0.023117343,0.013282306,0.024200288,0.421059098,0.437721654
2018-01-31,0.013576994,0.017334255,0.01365253,0.017652896,0.381633022,0.401197521
2018-02-01,0.010798228,0.011987495,0.010898236,0.01202764,0.33741892,0.433348529
2018-02-02,0.022592797,0.021096611,0.022834673,0.021388057,0.207543801,0.261135679
2018-02-05,0.033502621,0.033707666,0.034142335,0.03438131,0.10643297,0.059125578
2018-02-06,0.019080104,0.013889009,0.018832483,0.013712326,0.875175431,0.765503775
2018-02-07,0.009805334,0.011783251,0.009802391,0.011723553,0.277255596,0.37583885
2018-02-08,0.036585119,0.026825071,0.037333223,0.026967836,0.019361127,0.128232304
2018-02-09,0.016057832,0.010140367,0.015902074,0.010093103,0.764484915,0.603561528
2018-02-12,0.010468634,0.011984147,0.010397979,0.01186107,0.585654282,0.615178642
2018-02-13,0.010003889,0.006811493,0.009949701,0.006787499,0.720378815,0.650339687
2018-02-14,0.014080062,0.019682547,0.013952078,0.019461047,0.75398911,0.852618219
2018-02-15,0.01350566,0.01587629,0.013396946,0.015656359,0.715824353,0.824936878
2018-02-16,0.009239731,0.008805545,0.00920128,0.008796426,0.434300579,0.59804487
2018-02-20,0.016457446,0.018001465,0.016781649,0.017945496,0.264015966,0.481349821
2018-02-21,0.014571609,0.016518751,0.014561939,0.016656748,0.116355611,0.145185842
2018-02-22,0.011138143,0.017173152,0.01111883,0.017164992,0.40137172,0.345942646
2018-02-23,0.01457661,0.018742526,0.014426034,0.018588064,0.864329608,0.81120737
2018-02-26,0.010642271,0.025271725,0.010582639,0.026129411,0.661051572,0.663932094
2018-02-27,0.021942856,0.0154468,0.022293234,0.015630396,0.099877224,0.087425537
2018-02-28,0.016675215,0.013114575,0.016629246,0.01324869,0.144839692,0.09090136
2018-03-01,0.017776442,0.008670881,0.018163494,0.008659369,0.384586224,0.440984001
2018-03-02,0.017209425,0.012584237,0.01744254,0.012494497,0.724183686,0.775545441
2018-03-05,0.014016562,0.020038863,0.013874982,0.019814541,0.741252406,0.566341818
2018-03-06,0.01177084,0.014654684,0.011733881,0.014695949,0.69003994,0.57983571
2018-03-07,0.01546536,0.012484144,0.015681114,0.012579643,0.589439409,0.637770711
2018-03-08,0.014663991,0.010423922,0.014916528,0.010418908,0.496061415,0.525749564
2018-03-09,0.017083989,0.016449265,0.016922765,0.016244548,0.854933544,0.721030498
2018-03-12,0.009311906,0.015517319,0.009318778,0.015499929,0.456015866,0.443929141
2018-03-13,0.008790501,0.008434574,0.008822611,0.008496294,0.262833936,0.27872979
2018-03-14,0.009060375,0.015474191,0.009104651,0.01533157,0.358465098,0.43893141
2018-03-15,0.007063814,0.022061723,0.00707791,0.022366012,0.348301297,0.156265878
2018-03-16,0.005809358,0.0101646,0.00579854,0.010126495,0.443512167,0.562282772
2018-03-19,0.012642828,0.012461644,0.012737635,0.012463946,0.402674454,0.526865114
2018-03-20,0.007776307,0.01537921,0.007761879,0.015578025,0.444997978,0.350197362
2018-03-21,0.007166132,0.008992638,0.007191558,0.009000385,0.272531644,0.485261144
2018-03-22,0.018291471,0.024562639,0.018508173,0.02494749,0.165135907,0.052316882
2018-03-23,0.016106987,0.011687882,0.016233227,0.01176937,0.073208516,0.102688872
2018-03-26,0.023324114,0.023674423,0.022957962,0.02332254,0.836559445,0.899845029
2018-03-27,0.016408781,0.007241965,0.016616809,0.007268466,0.264947614,0.259619154
2018-03-28,0.013731037,0.01152733,0.013735519,0.011590541,0.378395676,0.359208223
2018-03-29,0.014901891,0.017048795,0.014788369,0.017075611,0.629186639,0.407607603
2018-04-02,0.022957915,0.025106818,0.023312164,0.025552912,0.318158452,0.341211971
2018-04-03,0.013227003,0.015704949,0.013106535,0.015455913,0.691614724,0.696883172
2018-04-04,0.017726804,0.017327487,0.017522002,0.017070869,0.905845629,0.780128559
2018-04-05,0.008970379,0.023011364,0.00892699,0.023009781,0.631938068,0.534597321
2018-04-06,0.019484644,0.016539715,0.01971665,0.016761538,0.228208982,0.308848189
2018-04-09,0.007667306,0.00703335,0.00769929,0.007042339,0.171339283,0.382497083
2018-04-10,0.014857893,0.008232681,0.014827847,0.008167853,0.545955587,0.446397571
2018-04-11,0.00708395,0.009122833,0.00708739,0.009167933,0.381985582,0.523047744
2018-04-12,0.010173574,0.013528242,0.010198173,0.01337598,0.394048719,0.547915346
2018-04-13,0.007974221,0.010209507,0.008023012,0.010104598,0.366327114,0.697768378
2018-04-16,0.01074035,0.019813957,0.010685455,0.020072452,0.520901054,0.586316354
2018-04-17,0.014794431,0.013756849,0.014579674,0.013640278,0.499665487,0.706183334
2018-04-18,0.008832535,0.012836226,0.008803298,0.012785658,0.321135533,0.504743332
2018-04-19,0.011744443,0.01188742,0.011837818,0.012011998,0.391770856,0.430417466
2018-04-20,0.011555466,0.010482453,0.011669919,0.01054678,0.226707891,0.40017175
2018-04-23,0.008813595,0.00795388,0.008789987,0.007940598,0.555984287,0.583569889
2018-04-24,0.01198242,0.004402922,0.012082446,0.004399252,0.342570805,0.507266494
2018-04-25,0.00948602,0.015285886,0.009458485,0.015101263,0.644461682,0.71316219
2018-04-26,0.017977624,0.008105684,0.017764968,0.008087213,0.612787974,0.673137333
2018-04-27,0.019107184,0.009102409,0.019254067,0.00916873,0.583918116,0.406297096
2018-04-30,0.012989452,0.016938268,0.013005045,0.017138302,0.259072561,0.166335199
2018-05-01,0.011784077,0.014838028,0.01178802,0.014760524,0.667998795,0.564343458
2018-05-02,0.010150439,0.022668158,0.010220209,0.023162199,0.418480292,0.266517861
2018-05-03,0.008554416,0.020649438,0.008624345,0.020883718,0.643024539,0.265269033
2018-05-04,0.013125946,0.014086538,0.013014445,0.013942991,0.776438512,0.670405286
2018-05-07,0.009468227,0.01139811,0.009501594,0.011320832,0.475256186,0.463604975
2018-05-08,0.011821435,0.026373086,0.011766397,0.025497063,0.543101854,0.624638893
2018-05-09,0.009185191,0.009792894,0.00917422,0.009686406,0.682206543,0.416476402
2018-05-10,0.010899847,0.010051538,0.010971373,0.010021679,0.600536867,0.379022498
2018-05-11,0.008842431,0.007820864,0.008800408,0.007766155,0.541430514,0.450892806
2018-05-14,0.010173138,0.01967153,0.010097345,0.019809078,0.515254789,0.37649499
2018-05-15,0.009308268,0.013153222,0.009354931,0.013053976,0.604473492,0.703921036
2018-05-16,0.008645431,0.013360628,0.008597462,0.013302267,0.492448004,0.572993536
2018-05-17,0.005875838,0.013648434,0.005888222,0.013532273,0.3318287,0.579101675
2018-05-18,0.006500315,0.011570571,0.00651021,0.011721336,0.469003112,0.489319393
2018-05-21,0.008976007,0.013520266,0.008916359,0.013428399,0.561731218,0.53026237
2018-05-22,0.009108845,0.010817016,0.009154029,0.010934003,0.30635761,0.095270793
2018-05-23,0.014315563,0.010184539,0.0141239,0.010235002,0.758368117,0.649713478
2018-05-24,0.010071692,0.011722647,0.010101162,0.011934486,0.597417419,0.559533179
2018-05-25,0.016136992,0.009235027,0.016135183,0.009325935,0.457504145,0.52129159
2018-05-29,0.009253776,0.010291758,0.009314439,0.010262144,0.448857489,0.469183627
2018-05-30,0.013533498,0.014210287,0.013409746,0.01419146,0.763166594,0.510506364
2018-05-31,0.011656583,0.020846804,0.011782043,0.021153054,0.369096459,0.188900457
2018-06-01,0.008284446,0.012012362,0.008220975,0.012107263,0.57930223,0.392681513
2018-06-04,0.012887145,0.005694046,0.012751186,0.005692949,0.712625154,0.324931756
2018-06-05,0.013191534,0.014393977,0.013131733,0.014177623,0.535708426,0.622445197
2018-06-06,0.010459288,0.015854639,0.010364022,0.015772477,0.753490431,0.65335477
2018-06-07,0.008684614,0.017947491,0.00865174,0.018005869,0.438671201,0.481051067
2018-06-08,0.007409704,0.010968279,0.007384363,0.010889091,0.695680159,0.748596793
2018-06-11,0.006808156,0.011067916,0.006777774,0.011049012,0.493524505,0.558640801
2018-06-12,0.007177356,0.008204553,0.00714074,0.008241666,0.666814694,0.418967617
2018-06-13,0.015495929,0.017209931,0.01546736,0.017006873,0.325134735,0.738399881
2018-06-14,0.011230961,0.007858151,0.011149889,0.007802793,0.538182316,0.586065227
2018-06-15,0.006393862,0.013006019,0.006375357,0.012975502,0.593214641,0.754644615
2018-06-18,0.00834562,0.014979499,0.008371797,0.015124961,0.598795364,0.681573196
2018-06-19,0.008689758,0.015262494,0.008669914,0.015307414,0.633506021,0.728293028
2018-06-20,0.014572849,0.013203257,0.014575635,0.013239257,0.610387512,0.480764748
2018-06-21,0.012764911,0.015097926,0.012631939,0.015227274,0.518541678,0.370044433
2018-06-22,0.012781838,0.011519848,0.012745183,0.011457725,0.45397131,0.467151161
2018-06-25,0.018154696,0.013282743,0.01849063,0.013338755,0.421268941,0.528042051
2018-06-26,0.0092289,0.007217672,0.009186312,0.007177079,0.51078108,0.576374439
2018-06-27,0.011329872,0.009626065,0.011403978,0.009731716,0.148781642,0.210147545
2018-06-28,0.011486287,0.021791397,0.01152703,0.022414446,0.640061296,0.479722034
2018-06-29,0.006698083,0.009245269,0.00672837,0.009248079,0.27873678,0.325007139
2018-07-02,0.010336862,0.02126019,0.010435545,0.021666196,0.695862687,0.421685901
2018-07-05,0.008940164,0.017636667,0.008892376,0.017327471,0.684960246,0.842855079
2018-07-06,0.009048828,0.007987194,0.008984506,0.007950838,0.726297358,0.564425672
2018-07-09,0.011542826,0.009864364,0.011488192,0.009863172,0.570976359,0.430198493
2018-07-10,0.006642214,0.011444814,0.006623012,0.011465133,0.65097625,0.428124589
2018-07-11,0.012072422,0.012230136,0.012165166,0.012351535,0.426534367,0.279056605
2018-07-12,0.010872707,0.009819562,0.011090779,0.009859379,0.532339043,0.420181302
2018-07-13,0.00896341,0.012950303,0.008963689,0.013075847,0.510696939,0.268041062
2018-07-16,0.005164107,0.010665696,0.005174454,0.010694746,0.571423823,0.284294773
2018-07-17,0.008515867,0.012893278,0.008547807,0.012941451,0.561826913,0.38683223
2018-07-18,0.005747266,0.012131751,0.005740142,0.012199246,0.544952277,0.342612647
2018-07-19,0.011616509,0.005098801,0.01159491,0.005088975,0.596916646,0.509576061
2018-07-20,0.009012677,0.00561463,0.009078055,0.005635075,0.334632347,0.46000118
2018-07-23,0.005490008,0.01151281,0.005486024,0.011600417,0.595943366,0.463689416
2018-07-24,0.010198448,0.01261806,0.010262895,0.012645586,0.294568011,0.326265075
2018-07-25,0.00978239,0.010881049,0.009740264,0.010910271,0.811717213,0.602331973
2018-07-26,0.011422076,0.01273444,0.011408601,0.012622629,0.392857225,0.610750197
2018-07-27,0.010942457,0.009768351,0.011028531,0.009824124,0.265295953,0.36891537
2018-07-30,0.012526104,0.014603127,0.01254212,0.014897718,0.5495625,0.397169624
2018-07-31,0.013014077,0.020730731,0.012931124,0.021192578,0.546627965,0.586719795
2018-08-01,0.009676446,0.015892123,0.009743373,0.015970163,0.434849897,0.250381013
2018-08-02,0.011675387,0.018950231,0.011604731,0.018355643,0.683430356,0.803242457
2018-08-03,0.009261833,0.015842301,0.009202818,0.015680656,0.590768249,0.616698461
2018-08-06,0.007563524,0.010900323,0.007558585,0.01086414,0.553071532,0.456216448
2018-08-07,0.008569549,0.026778692,0.008644041,0.027827459,0.490926711,0.420861924
2018-08-08,0.008560592,0.016008959,0.008546348,0.015971334,0.532045537,0.387793388
2018-08-09,0.009795826,0.010722746,0.009801541,0.01070271,0.503795645,0.675857701
2018-08-10,0.00823459,0.013873886,0.008261265,0.013820849,0.415293132,0.495508066
2018-08-13,0.007694892,0.011485201,0.007738847,0.011613796,0.323088168,0.335820666
2018-08-14,0.014997495,0.013080248,0.014788763,0.012982949,0.671291011,0.480750949
2018-08-15,0.013981488,0.013551711,0.014113609,0.013637318,0.621792527,0.504576995
2018-08-16,0.012564191,0.011061597,0.012404521,0.010988104,0.545845374,0.469326272
2018-08-17,0.00964254,0.015449683,0.009586835,0.015439008,0.738953078,0.731245756
2018-08-20,0.009464988,0.010586042,0.009412668,0.010492357,0.585851894,0.430625623
2018-08-21,0.011316591,0.013544227,0.011269151,0.013696041,0.472762018,0.353506156
2018-08-22,0.009114782,0.008209809,0.009069865,0.008150237,0.352960018,0.606971329
2018-08-23,0.011421047,0.006612286,0.011620826,0.006627764,0.471712417,0.551751838
2018-08-24,0.014109364,0.008938015,0.014296917,0.008891492,0.594691422,0.560889024
2018-08-27,0.00765041,0.01047772,0.007624897,0.010465082,0.471774457,0.33821696
2018-08-28,0.00850079,0.009389764,0.008516906,0.009460463,0.612976092,0.278135669
2018-08-29,0.007387119,0.013502925,0.007340233,0.013486652,0.640699846,0.591533748
2018-08-30,0.006615417,0.008178729,0.006643742,0.008223398,0.378073847,0.390110713
2018-08-31,0.006608899,0.007513217,0.006590833,0.007465993,0.65158447,0.647226645
2018-09-04,0.010696083,0.008277103,0.010690971,0.008297124,0.548467491,0.630920094
2018-09-05,0.010940657,0.00891243,0.011009971,0.008958213,0.518931669,0.470636799
2018-09-06,0.00865993,0.010243345,0.008687155,0.010252696,0.507205439,0.446739854
2018-09-07,0.008505416,0.007019368,0.008525546,0.006996816,0.414359948,0.722616631
2018-09-10,0.009823275,0.007533901,0.009766473,0.007488043,0.419152259,0.472150416
2018-09-11,0.006993335,0.012799158,0.006971244,0.012889993,0.552554657,0.537779678
2018-09-12,0.005981094,0.008588149,0.00595708,0.008554965,0.572762276,0.658598681
2018-09-13,0.011080454,0.014360061,0.011241378,0.014453875,0.410516016,0.328877027
2018-09-14,0.010133834,0.00749671,0.010127473,0.007453084,0.47780532,0.656733478
2018-09-17,0.010767782,0.013973906,0.010808445,0.013903548,0.44590724,0.493755455
2018-09-18,0.010492265,0.010391422,0.010391888,0.010381706,0.632588244,0.598341019
2018-09-19,0.00675796,0.011844761,0.006773706,0.011912981,0.479495418,0.322741136
2018-09-20,0.008097531,0.010847605,0.008047936,0.010765884,0.684838759,0.652825374
2018-09-21,0.008124995,0.011142279,0.008091579,0.01124421,0.453026711,0.284130941
2018-09-24,0.013816077,0.010920415,0.013936621,0.010951203,0.374809805,0.302318706
2018-09-25,0.00632755,0.016000004,0.006326582,0.016118455,0.362634645,0.281694739
2018-09-26,0.010738517,0.011184633,0.010680549,0.011282703,0.338025011,0.300813213
2018-09-27,0.006396788,0.010938179,0.006422802,0.010983505,0.429229161,0.468950156
2018-09-28,0.007825327,0.009670899,0.007796497,0.009642517,0.57533963,0.521167716
2018-10-01,0.007498641,0.018871914,0.007526391,0.019245162,0.235380448,0.326315038
2018-10-02,0.013800466,0.011322059,0.013961058,0.01129434,0.274073588,0.569002243
2018-10-03,0.008991672,0.011673584,0.009019077,0.011607805,0.309790662,0.460295217
2018-10-04,0.012429769,0.010428325,0.012544477,0.010481999,0.410360017,0.566196268
2018-10-05,0.01052511,0.011014589,0.01061699,0.01099067,0.362397478,0.499855813
2018-10-08,0.011726499,0.016172913,0.011655461,0.01596487,0.744804569,0.656730455
2018-10-09,0.0105339,0.017796768,0.010581079,0.018074378,0.427834768,0.146013542
2018-10-10,0.02492003,0.028261666,0.02536711,0.029065975,0.045650494,0.086411475
2018-10-11,0.021864492,0.030856505,0.02212022,0.030002232,0.179416563,0.246485452
2018-10-12,0.016014528,0.009335216,0.015824032,0.009326521,0.550773316,0.507343007
2018-10-15,0.009165926,0.016077153,0.009161887,0.016027989,0.402148897,0.568584275
2018-10-16,0.017001356,0.018298514,0.016826877,0.018078462,0.82755869,0.811365849
2018-10-17,0.012923878,0.007606089,0.012981334,0.007604436,0.608868349,0.699122764
2018-10-18,0.013961041,0.014669077,0.014151895,0.014814494,0.326712989,0.254296308
2018-10-19,0.01120658,0.009799708,0.011276949,0.009798098,0.3655145,0.440565392
2018-10-22,0.010441588,0.015592812,0.010441222,0.015702132,0.354363248,0.294159643
2018-10-23,0.008481527,0.017837255,0.008440545,0.01791712,0.788395327,0.713219676
2018-10-24,0.023950976,0.023290001,0.024444397,0.023811902,0.154135471,0.086365377
2018-10-25,0.023240125,0.017043077,0.022925085,0.016789879,0.68777694,0.682102877
2018-10-26,0.019444629,0.018519108,0.019784891,0.018756997,0.47473993,0.408709056
43402,0.015656316,0.012827544,0.015674135,0.012769075,0.422926086,0.38007491
43403,0.023432357,0.02313767,0.023030153,0.022854896,0.822331758,0.82910991